"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","min_width","min_height","inner_width","inner_height","stimulus","response","sequence","sequence_length","tile_duration","backwards","responses","score_an","score_pc","score_ls","event_history","success","timeout","failed_images","failed_audio","failed_video","task","correct_response","correct","fixation_time"
"","null","html-keyboard-response","36","138226","0.0-2.0-1.11","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","2453.2999999523163","spatial-recall","37","144243","0.0-2.0-2.11","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[7,3,2,10]","4","515","false","[7,3,2,10]","1","4","4","[{""button"":7,""time"":607.1999999284744},{""button"":3,""time"":963.3999999761581},{""button"":2,""time"":1401.2999999523163},{""button"":10,""time"":1910.3999999761581},{""button"":""submit"",""time"":2453.2999999523163}]","","","","","","","","",""
"","","screen-check","38","144245","0.0-2.0-0.12","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","39","144746","0.0-2.0-1.12","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","2916.100000023842","spatial-recall","40","151236","0.0-2.0-2.12","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[13,3,10,8]","4","518","false","[13,3,10,8]","1","4","4","[{""button"":13,""time"":925.2000000476837},{""button"":3,""time"":1448.3999999761581},{""button"":10,""time"":1887.7000000476837},{""button"":8,""time"":2364.600000023842},{""button"":""submit"",""time"":2916.100000023842}]","","","","","","","","",""
"","","screen-check","41","151240","0.0-2.0-0.13","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","42","151741","0.0-2.0-1.13","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","3087.6999999284744","spatial-recall","43","158532","0.0-2.0-2.13","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[0,5,13,6]","4","550","false","[0,5,13,6]","1","4","4","[{""button"":0,""time"":674.7999999523163},{""button"":5,""time"":1099.0999999046326},{""button"":13,""time"":1492.6999999284744},{""button"":6,""time"":1954.0999999046326},{""button"":""submit"",""time"":3087.6999999284744}]","","","","","","","","",""
"","","screen-check","44","158534","0.0-2.0-0.14","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","45","159037","0.0-2.0-1.14","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
