"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","fbclid","min_width","min_height","inner_width","inner_height","stimulus","response","sequence","sequence_length","tile_duration","backwards","responses","score_an","score_pc","score_ls","event_history","success","timeout","failed_images","failed_audio","failed_video","task","correct_response","correct","fixation_time"
"","null","html-keyboard-response","21","72686","0.0-2.0-1.6","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","4869","spatial-recall","22","81677","0.0-2.0-2.6","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","","","[2,15,5,11]","4","652","false","[2,15,5,11]","1","4","4","[{""button"":2,""time"":978},{""button"":15,""time"":2018},{""button"":5,""time"":2939},{""button"":11,""time"":3816},{""button"":""submit"",""time"":4869}]","","","","","","","","",""
"","","screen-check","23","81680","0.0-2.0-0.7","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","258","364","1280","559","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","82193","0.0-2.0-1.7","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","4829","spatial-recall","25","91304","0.0-2.0-2.7","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","","","[6,13,4,1]","4","691","false","[6,13,4,1]","1","4","4","[{""button"":6,""time"":1099},{""button"":13,""time"":2069},{""button"":4,""time"":3008},{""button"":1,""time"":3843},{""button"":""submit"",""time"":4829}]","","","","","","","","",""
"","","screen-check","26","91306","0.0-2.0-0.8","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","258","364","1280","559","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","91819","0.0-2.0-1.8","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","4463","spatial-recall","28","100258","0.0-2.0-2.8","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","","","[5,11,12,8]","4","617","false","[5,11,12,8]","1","4","4","[{""button"":5,""time"":865},{""button"":11,""time"":1688},{""button"":12,""time"":2692},{""button"":8,""time"":3534},{""button"":""submit"",""time"":4463}]","","","","","","","","",""
"","","screen-check","29","100266","0.0-2.0-0.9","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","258","364","1280","559","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","30","100783","0.0-2.0-1.9","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
